"authid","discipline","collaborator","collaborate_paper_n","n_paper","authname","firstname"
57224739250,"HSS",3,2,2,"Rodríguez J.M.G.","Rodríguez"
36711755000,"HSS",3,17,17,"López F.G.","López"
36712144200,"HSS",3,13,13,"García A.M.M.","García"
54392992700,"HSS",1,2,2,"Fressoli M.","Fressoli"
24079774200,"HSS",1,48,48,"De Filippo D.","De"
36855954900,"HSS",0,12,14,"Méndez E.","Méndez"
57189726231,"HSS",1,9,11,"Sánchez Illán J.C.","Sánchez"
57217036777,"HSS",1,3,4,"Luena López C.","Luena"
36711755000,"HSS",2,17,17,"García-López F.","García-López"
55880436400,"HSS",2,32,32,"Martínez-Cardama S.","Martínez-Cardama"
36712144200,"HSS",2,13,13,"Morales-García A.M.","Morales-García"
37083049900,"HSS",0,2,7,"Carrera P.","Carrera"
57221257453,"HSS",0,1,4,"Ramos A.G.","Ramos"
9844561800,"HSS",1,43,48,"Pacios A.R.","Pacios"
55880436400,"HSS",1,32,32,"Martínez-Cardama S.","Martínez-Cardama"
57193260369,"HSS",1,9,9,"González R.","González"
36880378500,"HSS",1,12,12,"Serra M.","Serra"
57151383800,"HSS",2,2,2,"Gómez-Carrasco P.","Gómez-Carrasco"
31267529200,"HSS",2,5,5,"Guillamón-Saorín E.","Guillamón-Saorín"
57207913782,"HSS",2,4,4,"García Osma B.","García"
56118529700,"HSS",1,88,103,"Goyanes M.","Goyanes"
56453199800,"HSS",1,11,17,"Rodríguez-Gómez E.F.","Rodríguez-Gómez"
57226565532,"HSS",2,2,2,"Manzanares Á.G.","Manzanares"
57210096812,"HSS",2,14,14,"Benítez A.J.","Benítez"
57226558600,"HSS",2,1,1,"Antón J.C.M.","Antón"
6602192383,"HSS",2,5,5,"Cabrales A.","Cabrales"
7202206920,"HSS",2,2,2,"Hernández P.","Hernández"
23068973000,"HSS",2,19,21,"Sánchez A.","Sánchez"
6603829011,"HSS",9,81,81,"Salichs M.A.","Salichs"
36655483500,"HSS",9,62,62,"Castro-González Á.","Castro-González"
57103536200,"HSS",9,4,4,"Salichs E.","Salichs"
57195252678,"HSS",9,16,16,"Fernández-Rodicio E.","Fernández-Rodicio"
57203536791,"HSS",9,30,30,"Maroto-Gómez M.","Maroto-Gómez"
57194276023,"HSS",9,13,13,"Gamboa-Montero J.J.","Gamboa-Montero"
57204553474,"HSS",9,11,11,"Marques-Villarroya S.","Marques-Villarroya"
7202601719,"HSS",9,49,49,"Castillo J.C.","Castillo"
55215683700,"HSS",9,68,68,"Alonso-Martín F.","Alonso-Martín"
8613265500,"HSS",9,56,56,"Malfaz M.","Malfaz"
57198517560,"HSS",5,2,2,"De Amicis L.","De"
57216871385,"HSS",5,2,2,"Binenti S.","Binenti"
57214750200,"HSS",5,2,2,"Maciel Cardoso F.","Maciel"
26322440600,"HSS",5,6,6,"Gracia-Lázaro C.","Gracia-Lázaro"
23068973000,"HSS",5,19,21,"Sánchez Á.","Sánchez"
7004893698,"HSS",5,7,7,"Moreno Y.","Moreno"
57223001313,"HSS",2,2,2,"Velar-Lera M.","Velar-Lera"
51663443800,"HSS",2,28,28,"Herrera-Damas S.","Herrera-Damas"
55580572100,"HSS",2,9,9,"González-Aldea P.","González-Aldea"
57219613876,"HSS",2,2,2,"Bernárdez-Rodal A.","Bernárdez-Rodal"
56004208000,"HSS",2,8,10,"Congosto M.L.","Congosto"
57220120964,"HSS",2,2,2,"López-Priego N.","López-Priego"
55817086700,"HSS",1,22,22,"García-Santamaría J.V.","García-Santamaría"
56040843000,"HSS",1,13,13,"Pérez-Serrano M.J.","Pérez-Serrano"
37083049900,"HSS",2,2,7,"Carrera P.","Carrera"
57203240630,"HSS",2,6,6,"Blanco-Ruiz M.","Blanco-Ruiz"
56040962100,"HSS",2,9,13,"Andújar C.S.d.B.","Andújar"
7003487567,"HSS",3,10,10,"Carrizosa E.","Carrizosa"
55703792100,"HSS",3,15,15,"Guerrero V.","Guerrero"
7102271126,"HSS",3,7,7,"Romero Morales D.","Romero"
6603665802,"HSS",3,2,2,"Satorra A.","Satorra"
57192959445,"HSS",0,8,25,"Francisco M.E.S.","Francisco"
57219432694,"HSS",1,1,1,"Duenãs M.Á.","Duenãs"
57192959445,"HSS",1,8,25,"Francisco M.E.S.","Francisco"
57201402902,"HSS",0,2,9,"García-Marín D.","García-Marín"
55982545400,"HSS",0,2,10,"Prados De La Escosura L.","Prados"
57200721773,"HSS",1,3,3,"Miranda-Escalada A.","Miranda-Escalada"
35303400800,"HSS",1,46,46,"Segura-Bedmar I.","Segura-Bedmar"
7102066305,"HSS",7,3,3,"Vázquez D.","Vázquez"
6504609083,"HSS",7,3,3,"Fernández-Balbuena A.A.","Fernández-Balbuena"
6508152754,"HSS",7,3,3,"Canabal H.","Canabal"
57062858200,"HSS",7,3,3,"Muro C.","Muro"
56624301400,"HSS",7,3,3,"Durmus D.","Durmus"
7402806928,"HSS",7,3,3,"Davis W.","Davis"
57210096812,"HSS",7,14,14,"Benítez A.","Benítez"
55711116700,"HSS",7,3,3,"Mayorga S.","Mayorga"
26867715100,"HSS",1,4,4,"Gomes P.","Gomes"
7202902622,"HSS",1,5,5,"Machado M.P.","Machado"
35573395700,"HSS",0,3,5,"Gasparini V.","Gasparini"
23003417600,"HSS",2,7,9,"Álvarez-Nogal C.","Álvarez-Nogal"
57221465895,"HSS",2,2,7,"de la Escosura L.P.","de"
36609210700,"HSS",2,5,11,"Santiago-Caballero C.","Santiago-Caballero"
57192959445,"HSS",0,8,25,"Eiroa M.","Eiroa"
56277963800,"HSS",2,4,4,"Kuusk K.","Kuusk"
23569030500,"HSS",2,7,7,"Tajadura-Jiménez A.","Tajadura-Jiménez"
15133296000,"HSS",2,4,4,"Väljamäe A.","Väljamäe"
57201682374,"HSS",1,4,4,"Solimine G.","Solimine"
24068319400,"HSS",1,13,13,"Garcia-Quismondo M.A.M.","Garcia-Quismondo"
57191874769,"HSS",2,5,5,"Dubrovinskaya E.","Dubrovinskaya"
8901243000,"HSS",2,16,16,"Casari P.","Casari"
23007940700,"HSS",2,2,2,"Diamant R.","Diamant"
55920264100,"HSS",1,11,13,"Cerdán J.","Cerdán"
56724217500,"HSS",1,24,24,"Fernández Labayen M.","Fernández"
55920264100,"HSS",1,11,13,"Cerdán J.","Cerdán"
56724217500,"HSS",1,24,24,"Fernández Labayen M.","Fernández"
15765332600,"HSS",2,42,42,"Griol D.","Griol"
57353370900,"HSS",2,3,3,"Font J.","Font"
55991672400,"HSS",2,28,28,"Callejas Z.","Callejas"
57224983441,"HSS",4,6,6,"Pérez-Fernández D.","Pérez-Fernández"
6506540366,"HSS",4,26,26,"Arenas-García J.","Arenas-García"
23467825800,"HSS",4,6,6,"Samy D.","Samy"
57222627327,"HSS",4,3,3,"Padilla-Soler A.","Padilla-Soler"
10143920100,"HSS",4,28,28,"Gómez-Verdejo V.","Gómez-Verdejo"
23467825800,"HSS",2,6,6,"Samy D.","Samy"
57224983441,"HSS",2,6,6,"Pérez-Fernández D.","Pérez-Fernández"
6506540366,"HSS",2,26,26,"Arenas-Garca J.","Arenas-Garca"
57210098653,"HSS",3,11,11,"Alarcon R.","Alarcon"
7101696703,"HSS",3,44,44,"Moreno L.","Moreno"
35303400800,"HSS",3,46,46,"Segura-Bedmar I.","Segura-Bedmar"
7202906176,"HSS",3,59,59,"Martínez P.","Martínez"
57204038843,"HSS",2,6,6,"Colón-Ruiz C.","Colón-Ruiz"
35303400800,"HSS",2,46,46,"Segura-Bedmar I.","Segura-Bedmar"
7202906176,"HSS",2,59,59,"Martínez P.","Martínez"
57292964100,"HSS",0,2,4,"Moreiro-González J.A.","Moreiro-González"
57044514900,"HSS",1,5,9,"Luengo M.","Luengo"
49863452800,"HSS",1,2,2,"Ihlebæk K.","Ihlebæk"
55579370700,"HSS",0,5,7,"Serrano N.L.","Serrano"
56724217500,"HSS",1,24,24,"Labayen M.F.","Labayen"
35085578100,"HSS",1,1,1,"Utray F.","Utray"
25724016000,"HSS",7,2,2,"Zurro D.","Zurro"
57191033393,"HSS",7,2,2,"Ahedo V.","Ahedo"
23111681300,"HSS",7,6,8,"Pereda M.","Pereda"
36665861500,"HSS",7,2,2,"Álvarez M.","Álvarez"
23097231600,"HSS",7,2,2,"Briz i Godino I.","Briz"
55944582800,"HSS",7,2,2,"Caro J.","Caro"
15051035800,"HSS",7,2,2,"Santos J.I.","Santos"
